"year","ersstArc.spr"
1980,0.151066226520758
1981,0.381457142377722
1982,-0.200775875305307
1983,0.324881224865201
1984,0.309368761243491
1985,-0.345293803598689
1986,0.386612215946461
1987,0.283634292394265
1988,-0.0596399004431977
1989,0.06084457539964
1990,0.0394251130778214
1991,-0.107198019822439
1992,0.490183583073232
1993,0.44607263865142
1994,0.360792743406077
1995,0.181005307175647
1996,0.664384361108144
1997,0.51639201401294
1998,0.270525195269749
1999,-0.89625213666894
2000,-0.225300095752738
2001,-0.325571911362396
2002,-0.343471746540618
2003,0.34075584027959
2004,0.399980405486863
2005,0.640142127700236
2006,-0.170944647131295
2007,-0.493707750035428
2008,-0.781107376978315
2009,-0.669568085738982
2010,-0.178637137837794
2011,-0.245764277241696
2012,-0.579058132980062
2013,-0.210634505337682
2014,0.80852515430286
2015,1.32081554251156
2016,1.11610362235157
2017,0.500721861233656
