"year","npgo.win"
1950,-1.81711325
1951,-0.461907613333333
1952,-1.2169328
1953,0.84566811
1954,1.2231421
1955,0.160352436666667
1956,-0.17856907
1957,-1.33251185
1958,-0.151136016666667
1959,-0.29102917
1960,0.752581116666667
1961,1.1995759
1962,0.140785213333333
1963,-0.209223423333333
1964,0.635469503333333
1965,-0.708754603333333
1966,-0.876998353333333
1967,-0.630369216666667
1968,-0.541789596666667
1969,-1.38840374666667
1970,0.204755103333333
1971,-0.0711822576666667
1972,-0.322304651
1973,-0.438000431666667
1974,-0.350173926666667
1975,0.779842526666667
1976,1.11342986666667
1977,1.52847696666667
1978,1.10453535333333
1979,-0.62114414
1980,-1.38887589666667
1981,-0.53494929
1982,-0.184069173333333
1983,0.281384766666667
1984,-0.16404819
1985,0.170517743
1986,-1.29948936666667
1987,0.332657383333333
1988,0.864785786666667
1989,0.90987403
1990,-0.0613260966666667
1991,-0.86051957
1992,-0.05881037
1993,-2.2754968
1994,-1.9444107
1995,-1.02555351
1996,-0.49204
1997,-1.3694127
1998,0.896218193333333
1999,1.38527183
2000,1.5269583
2001,2.66099153333333
2002,2.0203324
2003,1.86609866
2004,0.38554044
2005,-1.37941968333333
2006,-0.989605203333333
2007,-0.234574086666667
2008,0.716508203333333
2009,0.693722646666667
2010,1.65495656666667
2011,0.550483326666667
2012,0.609467473333333
2013,1.2115279
2014,-0.702736343333333
2015,-0.726850056666667
2016,0.02009649
2017,-0.826206683333333
2018,-2.2256054
