"year","pdo.spr"
1900,0.536666666666667
1901,0.18
1902,0.98
1903,-0.0966666666666667
1904,-0.333333333333333
1905,0.943333333333333
1906,0.67
1907,-0.0633333333333333
1908,0.376666666666667
1909,0.13
1910,-0.0833333333333333
1911,-0.446666666666667
1912,-0.146666666666667
1913,-0.0666666666666667
1914,0.463333333333333
1915,0.166666666666667
1916,0.22
1917,-0.0766666666666667
1918,-0.6
1919,-0.0833333333333333
1920,-1.01333333333333
1921,-0.453333333333333
1922,0.106666666666667
1923,0.426666666666667
1924,0.49
1925,0.616666666666667
1926,1.01
1927,0.09
1928,0.663333333333333
1929,0.706666666666667
1930,-0.356666666666667
1931,1.35666666666667
1932,0.766666666666667
1933,-0.133333333333333
1934,1.4
1935,0.66
1936,1.50333333333333
1937,0.37
1938,0.0866666666666667
1939,0.346666666666667
1940,2.19333333333333
1941,2.18333333333333
1942,0.64
1943,0.59
1944,0.15
1945,-0.296666666666667
1946,-0.23
1947,0.746666666666667
1948,-0.53
1949,-0.866666666666667
1950,-1.52
1951,-0.836666666666667
1952,-0.893333333333333
1953,-0.213333333333333
1954,-0.613333333333333
1955,-1.48
1956,-2.04666666666667
1957,0.00666666666666666
1958,0.863333333333333
1959,-0.246666666666667
1960,0.263333333333333
1961,0.123333333333333
1962,-1.14666666666667
1963,-0.533333333333333
1964,-1.27
1965,-1.15828932093868e-17
1966,-0.586666666666667
1967,-1.11
1968,-0.623333333333333
1969,-0.38
1970,0.423333333333333
1971,-1.60666666666667
1972,-1.77
1973,-0.65
1974,-0.566666666666667
1975,-0.943333333333333
1976,-0.843333333333333
1977,0.443333333333333
1978,1.17666666666667
1979,0.76
1980,1.26
1981,1.39666666666667
1982,-0.193333333333333
1983,1.92666666666667
1984,1.53
1985,0.253333333333333
1986,1.63
1987,2.03666666666667
1988,1.18666666666667
1989,-0.226666666666667
1990,0.03
1991,-0.753333333333333
1992,0.986666666666667
1993,1.36666666666667
1994,1.02666666666667
1995,1.01333333333333
1996,1.55
1997,1.17666666666667
1998,1.32666666666667
1999,-0.473333333333333
2000,0.196666666666667
2001,-0.0533333333333333
2002,-0.46
2003,1.19333333333333
2004,0.686666666666667
2005,1.41666666666667
2006,0.31
2007,-0.1
2008,-1.2
2009,-1.37333333333333
2010,0.613333333333333
2011,-0.493333333333333
2012,-0.86
2013,-0.236666666666667
2014,1.3
2015,1.54666666666667
2016,2.45666666666667
2017,0.913333333333333
