"year","pdo.win"
1900,0.68
1901,0.62
1902,0.753333333333333
1903,-0.16
1904,-0.103333333333333
1905,0.566666666666667
1906,0.533333333333333
1907,-0.386666666666667
1908,1.03333333333333
1909,0.8
1910,-0.32
1911,-0.09
1912,-0.646666666666667
1913,0.43
1914,0.316666666666667
1915,0.206666666666667
1916,-0.22
1917,-1.19
1918,-0.796666666666667
1919,0.366666666666667
1920,-0.12
1921,-0.326666666666667
1922,0.54
1923,0.396666666666667
1924,0.553333333333333
1925,-0.0266666666666667
1926,0.823333333333333
1927,1.28666666666667
1928,0.606666666666667
1929,0.823333333333333
1930,-0.04
1931,0.946666666666667
1932,0.0833333333333334
1933,0.11
1934,-0.0833333333333333
1935,1.15666666666667
1936,1.77333333333333
1937,0.263333333333333
1938,0.356666666666667
1939,0.943333333333333
1940,1.76
1941,2.05666666666667
1942,0.903333333333333
1943,-0.386666666666667
1944,0.31
1945,-0.0333333333333333
1946,-0.656666666666667
1947,-0.66
1948,0.273333333333333
1949,-2.43666666666667
1950,-1.94666666666667
1951,-1.12
1952,-1.38333333333333
1953,-0.2
1954,-0.953333333333333
1955,-0.606666666666667
1956,-2.65666666666667
1957,-1.26
1958,0.106666666666667
1959,0.373333333333333
1960,0.293333333333333
1961,0.593333333333333
1962,-1.71
1963,-0.483333333333333
1964,-0.426666666666667
1965,-1.30666666666667
1966,-0.263333333333333
1967,-0.233333333333333
1968,-0.583333333333333
1969,-1.16
1970,0.806666666666667
1971,-1.53666666666667
1972,-1.89666666666667
1973,-0.466666666666667
1974,-1.21
1975,-0.556666666666667
1976,-1.53333333333333
1977,1.32666666666667
1978,0.366666666666667
1979,-0.78
1980,0.263333333333333
1981,0.65
1982,0.403333333333333
1983,0.653333333333333
1984,1.46666666666667
1985,1.01
1986,1.03666666666667
1987,1.8
1988,1.14666666666667
1989,-0.8
1990,-0.386666666666667
1991,-1.81333333333333
1992,0.15
1993,0.256666666666667
1994,0.956666666666667
1995,-0.606666666666667
1996,0.5
1997,0.16
1998,1.02
1999,-0.473333333333333
2000,-1.48666666666667
2001,0.47
2002,-0.433333333333333
2003,1.98
2004,0.413333333333333
2005,0.36
2006,0.63
2007,0.0633333333333333
2008,-0.783333333333333
2009,-1.27333333333333
2010,0.576666666666667
2011,-0.986666666666667
2012,-1.34
2013,-0.346666666666667
2014,0.09
2015,2.42
2016,1.43
2017,0.88
2018,0.5
