"year","npgo.sum"
1950,-0.624160913333333
1951,-1.23800606666667
1952,-1.068577
1953,0.9054612
1954,0.00387993533333334
1955,0.0568700076666667
1956,0.491580273333333
1957,-0.943163293333333
1958,-0.740629096666667
1959,-0.424687156666667
1960,0.486747136666667
1961,1.11306326666667
1962,-0.245723319
1963,-0.405845533333333
1964,1.08998458333333
1965,-0.65548186
1966,-1.11850912666667
1967,-1.05981195333333
1968,-1.00638267333333
1969,-0.57957761
1970,0.35219072
1971,0.636532166666667
1972,-0.50358629
1973,0.33506073
1974,0.285837753333333
1975,0.664931843333333
1976,2.2568419
1977,1.08179522666667
1978,0.55797851
1979,-1.07398596333333
1980,-0.918769883333333
1981,-0.404988955533333
1982,-0.638386033333333
1983,-0.0451776336666667
1984,0.507168573333333
1985,-0.0329928013333333
1986,-0.87517878
1987,0.386701816666667
1988,1.62013856666667
1989,0.817697393333333
1990,-0.218046076
1991,-0.48043838
1992,-1.35351916666667
1993,-1.624994
1994,-0.727166983333333
1995,-1.18448166666667
1996,-0.89747334
1997,-0.832194043333333
1998,0.261613696666667
1999,1.57330333333333
2000,1.70315946666667
2001,1.9216048
2002,1.26651045
2003,0.920806753333333
2004,0.624475453333333
2005,-1.35941276666667
2006,-0.331192696666667
2007,1.30044133333333
2008,1.6166405
2009,0.549473033333333
2010,1.15417283333333
2011,1.06160353333333
2012,1.84299
2013,0.57984965
2014,-0.36519975
2015,-1.55052453333333
2016,-0.662988316666667
2017,-0.216433976666667
