"year","ersstWAcoast.win"
1980,0.264121413230896
1981,0.624603033065796
1982,-0.186168114344279
1983,0.455425024032593
1984,0.26307225227356
1985,-0.0676796436309814
1986,-0.6863694190979
1987,0.578121105829875
1988,0.318384806315104
1989,-0.461732069651286
1990,0.0512869358062744
1991,-0.519798517227173
1992,0.460580110549927
1993,0.0292369524637858
1994,0.524196545283
1995,0.26251228650411
1996,0.734522422154745
1997,0.234450181325277
1998,1.76963114738464
1999,0.321203867594401
2000,0.289471944173177
2001,0.329857110977173
2002,-0.133841514587402
2003,1.00407346089681
2004,0.36572790145874
2005,0.246645291646322
2006,0.623570203781128
2007,0.00879073143005371
2008,-0.712082743644714
2009,-0.867949287096659
2010,0.290211995442708
2011,-0.00480143229166667
2012,-0.343853791554769
2013,0.0142993132273356
2014,-0.749026417732239
2015,1.80121906598409
2016,1.11425097783407
2017,0.663079579671224
2018,0.466236352920532
