"year","ersstWAcoast.spr"
1980,0.109056870142619
1981,0.217673858006795
1982,-0.701028188069661
1983,0.880825519561768
1984,0.0485913753509521
1985,-0.432494004567464
1986,-0.0607571601867676
1987,0.430478731791178
1988,-0.062787135442098
1989,-0.0793567895889282
1990,-0.165820916493734
1991,-0.197981119155884
1992,1.19313454627991
1993,0.574010848999023
1994,0.55847954750061
1995,0.685712258021037
1996,0.314073006312052
1997,0.500360171000163
1998,1.40701103210449
1999,-0.584376494089762
2000,0.163524627685547
2001,-0.296547651290894
2002,-0.818067789077759
2003,0.494193394978841
2004,0.765099922815959
2005,0.824043273925781
2006,-0.186265150705973
2007,-0.332984765370687
2008,-1.10495281219482
2009,-1.05798745155334
2010,0.384647210439046
2011,-0.501899003982544
2012,-0.399840275446574
2013,-0.341259717941284
2014,0.328831752141317
2015,1.3749049504598
2016,1.55419278144836
2017,0.218664328257243
