year,mm-dd,location,parameter,unit,datatype,value
2017,28-Apr,TDA,spillpct,%,Spill Percent,48.446
2017,29-Apr,TDA,spillpct,%,Spill Percent,53.118
2017,30-Apr,TDA,spillpct,%,Spill Percent,45.174
2017,1-May,TDA,spillpct,%,Spill Percent,44.255
2017,2-May,TDA,spillpct,%,Spill Percent,48.883
2017,3-May,TDA,spillpct,%,Spill Percent,43.777
2017,4-May,TDA,spillpct,%,Spill Percent,41.312
2017,5-May,TDA,spillpct,%,Spill Percent,43.422
2017,6-May,TDA,spillpct,%,Spill Percent,51.307
2017,7-May,TDA,spillpct,%,Spill Percent,68.496
2017,8-May,TDA,spillpct,%,Spill Percent,70.747
2017,9-May,TDA,spillpct,%,Spill Percent,71.274
2017,10-May,TDA,spillpct,%,Spill Percent,71.435
2017,11-May,TDA,spillpct,%,Spill Percent,59.566
2017,12-May,TDA,spillpct,%,Spill Percent,51.774
2017,13-May,TDA,spillpct,%,Spill Percent,55.655
2017,14-May,TDA,spillpct,%,Spill Percent,59.728
2017,15-May,TDA,spillpct,%,Spill Percent,64.284
2017,16-May,TDA,spillpct,%,Spill Percent,66.185
2017,17-May,TDA,spillpct,%,Spill Percent,66.642
2017,18-May,TDA,spillpct,%,Spill Percent,65.815
2017,19-May,TDA,spillpct,%,Spill Percent,59.712
2017,20-May,TDA,spillpct,%,Spill Percent,58.866
2017,21-May,TDA,spillpct,%,Spill Percent,58.232
2017,22-May,TDA,spillpct,%,Spill Percent,59.526
2017,23-May,TDA,spillpct,%,Spill Percent,57.985
2017,24-May,TDA,spillpct,%,Spill Percent,56.717
2017,25-May,TDA,spillpct,%,Spill Percent,50.668
2017,26-May,TDA,spillpct,%,Spill Percent,48.995
2017,27-May,TDA,spillpct,%,Spill Percent,52.97
2017,28-May,TDA,spillpct,%,Spill Percent,56.333
2017,29-May,TDA,spillpct,%,Spill Percent,54.425
2017,30-May,TDA,spillpct,%,Spill Percent,55.477
2017,31-May,TDA,spillpct,%,Spill Percent,53.572
2017,1-Jun,TDA,spillpct,%,Spill Percent,53.34
2016,20-Apr,BON,spillpct,%,Spill Percent,38.532
2016,21-Apr,BON,spillpct,%,Spill Percent,36.136
2016,22-Apr,BON,spillpct,%,Spill Percent,43.707
2016,23-Apr,BON,spillpct,%,Spill Percent,46.589
2016,24-Apr,BON,spillpct,%,Spill Percent,45.97
2016,25-Apr,BON,spillpct,%,Spill Percent,46.893
2016,26-Apr,BON,spillpct,%,Spill Percent,44.731
2016,27-Apr,BON,spillpct,%,Spill Percent,39.139
2016,28-Apr,BON,spillpct,%,Spill Percent,39.324
2016,29-Apr,BON,spillpct,%,Spill Percent,39.09
2016,30-Apr,BON,spillpct,%,Spill Percent,37.589
2016,1-May,BON,spillpct,%,Spill Percent,35.191
2016,2-May,BON,spillpct,%,Spill Percent,36.74
2016,3-May,BON,spillpct,%,Spill Percent,39.286
2016,4-May,BON,spillpct,%,Spill Percent,38.786
2016,5-May,BON,spillpct,%,Spill Percent,40.554
2016,6-May,BON,spillpct,%,Spill Percent,35.183
2016,7-May,BON,spillpct,%,Spill Percent,35.894
2016,8-May,BON,spillpct,%,Spill Percent,34.92
2016,9-May,BON,spillpct,%,Spill Percent,37.487
2016,10-May,BON,spillpct,%,Spill Percent,40.621
2016,11-May,BON,spillpct,%,Spill Percent,35.802
2016,12-May,BON,spillpct,%,Spill Percent,34.724
2016,13-May,BON,spillpct,%,Spill Percent,36.701
2016,14-May,BON,spillpct,%,Spill Percent,38.285
2016,15-May,BON,spillpct,%,Spill Percent,39.984
2016,16-May,BON,spillpct,%,Spill Percent,37.816
2016,17-May,BON,spillpct,%,Spill Percent,36.006
2016,18-May,BON,spillpct,%,Spill Percent,41.276
2016,19-May,BON,spillpct,%,Spill Percent,42.05
2016,20-May,BON,spillpct,%,Spill Percent,37.599
2016,21-May,BON,spillpct,%,Spill Percent,39.375
2016,22-May,BON,spillpct,%,Spill Percent,47.87
2016,23-May,BON,spillpct,%,Spill Percent,48.412
2016,24-May,BON,spillpct,%,Spill Percent,43.518
2016,25-May,BON,spillpct,%,Spill Percent,43.078
2016,26-May,BON,spillpct,%,Spill Percent,46.143
2016,27-May,BON,spillpct,%,Spill Percent,44.391
2016,28-May,BON,spillpct,%,Spill Percent,48.44
2016,29-May,BON,spillpct,%,Spill Percent,50
2016,30-May,BON,spillpct,%,Spill Percent,46.863
2016,31-May,BON,spillpct,%,Spill Percent,44.43
2016,1-Jun,BON,spillpct,%,Spill Percent,50.848
2016,20-Apr,JDA,spillpct,%,Spill Percent,30.075
2016,21-Apr,JDA,spillpct,%,Spill Percent,30.076
2016,22-Apr,JDA,spillpct,%,Spill Percent,30.13
2016,23-Apr,JDA,spillpct,%,Spill Percent,36.214
2016,24-Apr,JDA,spillpct,%,Spill Percent,33.663
2016,25-Apr,JDA,spillpct,%,Spill Percent,30.006
2016,26-Apr,JDA,spillpct,%,Spill Percent,30.034
2016,27-Apr,JDA,spillpct,%,Spill Percent,29.83
2016,28-Apr,JDA,spillpct,%,Spill Percent,29.868
2016,29-Apr,JDA,spillpct,%,Spill Percent,31.455
2016,30-Apr,JDA,spillpct,%,Spill Percent,39.624
2016,1-May,JDA,spillpct,%,Spill Percent,37.925
2016,2-May,JDA,spillpct,%,Spill Percent,29.946
2016,3-May,JDA,spillpct,%,Spill Percent,31.696
2016,4-May,JDA,spillpct,%,Spill Percent,39.936
2016,5-May,JDA,spillpct,%,Spill Percent,37.928
2016,6-May,JDA,spillpct,%,Spill Percent,29.949
2016,7-May,JDA,spillpct,%,Spill Percent,31.719
2016,8-May,JDA,spillpct,%,Spill Percent,39.731
2016,9-May,JDA,spillpct,%,Spill Percent,38.099
2016,10-May,JDA,spillpct,%,Spill Percent,29.813
2016,11-May,JDA,spillpct,%,Spill Percent,31.464
2016,12-May,JDA,spillpct,%,Spill Percent,39.861
2016,13-May,JDA,spillpct,%,Spill Percent,38.317
2016,14-May,JDA,spillpct,%,Spill Percent,30.023
2016,15-May,JDA,spillpct,%,Spill Percent,31.844
2016,16-May,JDA,spillpct,%,Spill Percent,40.03
2016,17-May,JDA,spillpct,%,Spill Percent,38.351
2016,18-May,JDA,spillpct,%,Spill Percent,30.109
2016,19-May,JDA,spillpct,%,Spill Percent,31.77
2016,20-May,JDA,spillpct,%,Spill Percent,40.037
2016,21-May,JDA,spillpct,%,Spill Percent,38.644
2016,22-May,JDA,spillpct,%,Spill Percent,29.975
2016,23-May,JDA,spillpct,%,Spill Percent,31.614
2016,24-May,JDA,spillpct,%,Spill Percent,39.807
2016,25-May,JDA,spillpct,%,Spill Percent,38.187
2016,26-May,JDA,spillpct,%,Spill Percent,29.891
2016,27-May,JDA,spillpct,%,Spill Percent,31.532
2016,28-May,JDA,spillpct,%,Spill Percent,39.892
2016,29-May,JDA,spillpct,%,Spill Percent,38.132
2016,30-May,JDA,spillpct,%,Spill Percent,29.917
2016,31-May,JDA,spillpct,%,Spill Percent,31.544
2016,1-Jun,JDA,spillpct,%,Spill Percent,39.811
2016,20-Apr,TDA,spillpct,%,Spill Percent,40.065
2016,21-Apr,TDA,spillpct,%,Spill Percent,39.05
2016,22-Apr,TDA,spillpct,%,Spill Percent,38.209
2016,23-Apr,TDA,spillpct,%,Spill Percent,35.52
2016,24-Apr,TDA,spillpct,%,Spill Percent,35.282
2016,25-Apr,TDA,spillpct,%,Spill Percent,38.631
2016,26-Apr,TDA,spillpct,%,Spill Percent,40
2016,27-Apr,TDA,spillpct,%,Spill Percent,39.923
2016,28-Apr,TDA,spillpct,%,Spill Percent,39.886
2016,29-Apr,TDA,spillpct,%,Spill Percent,39.95
2016,30-Apr,TDA,spillpct,%,Spill Percent,40.179
2016,1-May,TDA,spillpct,%,Spill Percent,40.077
2016,2-May,TDA,spillpct,%,Spill Percent,39.839
2016,3-May,TDA,spillpct,%,Spill Percent,40.051
2016,4-May,TDA,spillpct,%,Spill Percent,39.992
2016,5-May,TDA,spillpct,%,Spill Percent,40.026
2016,6-May,TDA,spillpct,%,Spill Percent,39.992
2016,7-May,TDA,spillpct,%,Spill Percent,40.096
2016,8-May,TDA,spillpct,%,Spill Percent,39.72
2016,9-May,TDA,spillpct,%,Spill Percent,39.586
2016,10-May,TDA,spillpct,%,Spill Percent,39.686
2016,11-May,TDA,spillpct,%,Spill Percent,39.548
2016,12-May,TDA,spillpct,%,Spill Percent,39.336
2016,13-May,TDA,spillpct,%,Spill Percent,40.242
2016,14-May,TDA,spillpct,%,Spill Percent,39.983
2016,15-May,TDA,spillpct,%,Spill Percent,40.052
2016,16-May,TDA,spillpct,%,Spill Percent,39.968
2016,17-May,TDA,spillpct,%,Spill Percent,40.197
2016,18-May,TDA,spillpct,%,Spill Percent,40
2016,19-May,TDA,spillpct,%,Spill Percent,40.147
2016,20-May,TDA,spillpct,%,Spill Percent,40.008
2016,21-May,TDA,spillpct,%,Spill Percent,40.102
2016,22-May,TDA,spillpct,%,Spill Percent,39.892
2016,23-May,TDA,spillpct,%,Spill Percent,39.797
2016,24-May,TDA,spillpct,%,Spill Percent,39.821
2016,25-May,TDA,spillpct,%,Spill Percent,39.828
2016,26-May,TDA,spillpct,%,Spill Percent,40.049
2016,27-May,TDA,spillpct,%,Spill Percent,40.057
2016,28-May,TDA,spillpct,%,Spill Percent,39.906
2016,29-May,TDA,spillpct,%,Spill Percent,39.966
2016,30-May,TDA,spillpct,%,Spill Percent,39.931
2016,31-May,TDA,spillpct,%,Spill Percent,39.961
2016,1-Jun,TDA,spillpct,%,Spill Percent,40.146
2015,20-Apr,JDA,spillpct,%,Spill Percent,30.03
2015,21-Apr,JDA,spillpct,%,Spill Percent,29.887
2015,22-Apr,JDA,spillpct,%,Spill Percent,30.063
2015,23-Apr,JDA,spillpct,%,Spill Percent,30.012
2015,24-Apr,JDA,spillpct,%,Spill Percent,30.019
2015,25-Apr,JDA,spillpct,%,Spill Percent,29.993
2015,26-Apr,JDA,spillpct,%,Spill Percent,30.006
2015,27-Apr,JDA,spillpct,%,Spill Percent,29.883
2015,28-Apr,JDA,spillpct,%,Spill Percent,29.988
2015,29-Apr,JDA,spillpct,%,Spill Percent,31.579
2015,30-Apr,JDA,spillpct,%,Spill Percent,40.074
2015,1-May,JDA,spillpct,%,Spill Percent,38.364
2015,2-May,JDA,spillpct,%,Spill Percent,29.946
2015,3-May,JDA,spillpct,%,Spill Percent,31.864
2015,4-May,JDA,spillpct,%,Spill Percent,39.924
2015,5-May,JDA,spillpct,%,Spill Percent,37.969
2015,6-May,JDA,spillpct,%,Spill Percent,30.176
2015,7-May,JDA,spillpct,%,Spill Percent,31.818
2015,8-May,JDA,spillpct,%,Spill Percent,39.941
2015,9-May,JDA,spillpct,%,Spill Percent,38.519
2015,10-May,JDA,spillpct,%,Spill Percent,29.958
2015,11-May,JDA,spillpct,%,Spill Percent,31.712
2015,12-May,JDA,spillpct,%,Spill Percent,39.591
2015,13-May,JDA,spillpct,%,Spill Percent,38.185
2015,14-May,JDA,spillpct,%,Spill Percent,29.953
2015,15-May,JDA,spillpct,%,Spill Percent,31.449
2015,16-May,JDA,spillpct,%,Spill Percent,39.777
2015,17-May,JDA,spillpct,%,Spill Percent,38.234
2015,18-May,JDA,spillpct,%,Spill Percent,29.898
2015,19-May,JDA,spillpct,%,Spill Percent,31.605
2015,20-May,JDA,spillpct,%,Spill Percent,39.825
2015,21-May,JDA,spillpct,%,Spill Percent,37.947
2015,22-May,JDA,spillpct,%,Spill Percent,30.03
2015,23-May,JDA,spillpct,%,Spill Percent,31.527
2015,24-May,JDA,spillpct,%,Spill Percent,39.768
2015,25-May,JDA,spillpct,%,Spill Percent,38.546
2015,26-May,JDA,spillpct,%,Spill Percent,29.92
2015,27-May,JDA,spillpct,%,Spill Percent,31.557
2015,28-May,JDA,spillpct,%,Spill Percent,39.858
2015,29-May,JDA,spillpct,%,Spill Percent,38.195
2015,30-May,JDA,spillpct,%,Spill Percent,30.044
2015,31-May,JDA,spillpct,%,Spill Percent,31.595
2015,1-Jun,JDA,spillpct,%,Spill Percent,40.051
2015,20-Apr,BON,spillpct,%,Spill Percent,53.726
2015,21-Apr,BON,spillpct,%,Spill Percent,56.979
2015,22-Apr,BON,spillpct,%,Spill Percent,64.162
2015,23-Apr,BON,spillpct,%,Spill Percent,61.341
2015,24-Apr,BON,spillpct,%,Spill Percent,68.558
2015,25-Apr,BON,spillpct,%,Spill Percent,64.706
2015,26-Apr,BON,spillpct,%,Spill Percent,63.218
2015,27-Apr,BON,spillpct,%,Spill Percent,53.401
2015,28-Apr,BON,spillpct,%,Spill Percent,61.453
2015,29-Apr,BON,spillpct,%,Spill Percent,63.759
2015,30-Apr,BON,spillpct,%,Spill Percent,67.713
2015,1-May,BON,spillpct,%,Spill Percent,61.444
2015,2-May,BON,spillpct,%,Spill Percent,57.43
2015,3-May,BON,spillpct,%,Spill Percent,52.791
2015,4-May,BON,spillpct,%,Spill Percent,51.854
2015,5-May,BON,spillpct,%,Spill Percent,56.564
2015,6-May,BON,spillpct,%,Spill Percent,57.708
2015,7-May,BON,spillpct,%,Spill Percent,57.757
2015,8-May,BON,spillpct,%,Spill Percent,57.879
2015,9-May,BON,spillpct,%,Spill Percent,63.509
2015,10-May,BON,spillpct,%,Spill Percent,68.511
2015,11-May,BON,spillpct,%,Spill Percent,68.861
2015,12-May,BON,spillpct,%,Spill Percent,56.455
2015,13-May,BON,spillpct,%,Spill Percent,53.967
2015,14-May,BON,spillpct,%,Spill Percent,51.477
2015,15-May,BON,spillpct,%,Spill Percent,48.464
2015,16-May,BON,spillpct,%,Spill Percent,57.995
2015,17-May,BON,spillpct,%,Spill Percent,58.738
2015,18-May,BON,spillpct,%,Spill Percent,47.653
2015,19-May,BON,spillpct,%,Spill Percent,48.179
2015,20-May,BON,spillpct,%,Spill Percent,50
2015,21-May,BON,spillpct,%,Spill Percent,47.098
2015,22-May,BON,spillpct,%,Spill Percent,49.085
