"year","ersstArc.sum"
1980,-0.25615487866018
1981,0.282842243676898
1982,-0.478130389904154
1983,0.109153090948346
1984,0.151044351205058
1985,-0.218204900588112
1986,0.053768348145759
1987,-0.276376541181542
1988,-0.220489463312873
1989,0.174606448206408
1990,0.357316227068846
1991,-0.294367105659397
1992,0.596018104991694
1993,0.513727288410581
1994,0.318088415847428
1995,0.135559121493635
1996,0.331541891755729
1997,1.24118638531915
1998,0.0369293947329466
1999,-0.913835729949776
2000,0.0907754070457371
2001,-0.19639198917082
2002,-0.0174394119745013
2003,0.495117412216362
2004,0.89061138164038
2005,0.753938463364524
2006,0.114869409868087
2007,0.064572051475788
2008,-0.487957437011017
2009,0.142139099384176
2010,-0.557738720137497
2011,-0.53660364973134
2012,-0.813698415646608
2013,0.408843697624645
2014,1.24696617400509
2015,1.58903502047747
2016,1.20236506900568
2017,0.694339012825626
